Date,Open,High,Low,Close,Volume,Adj Close
4/15/2014,14068.75,14096.86035,13969.16992,13996.80957,120800,13996.80957
4/14/2014,13887.23047,14008.29004,13885.21973,13910.16016,121100,13910.16016
4/11/2014,14027.79981,14065.96973,13885.11035,13960.04981,174700,13960.04981
4/10/2014,14484.54004,14513.13965,14234.4502,14300.12012,128900,14300.12012
4/9/2014,14436.04981,14502.01953,14279.33984,14299.69043,162500,14299.69043
4/8/2014,14715.79981,14740.09961,14605.30957,14606.87988,130400,14606.87988
4/7/2014,14880.82031,14895.58008,14764.37012,14808.84961,112800,14808.84961
4/4/2014,15005.54004,15098.37988,15000.69043,15063.76953,97100,15063.76953
4/3/2014,15009.17969,15164.38965,14976.36035,15071.87988,134400,15071.87988
4/2/2014,14897.87988,15069.61035,14893.16992,14946.32031,162400,14946.32031
4/1/2014,14870.50977,14870.50977,14751.29004,14791.99023,139200,14791.99023
3/31/2014,14839.54004,14843.66992,14718.00977,14827.83008,141600,14827.83008
3/28/2014,14576.25,14713.4502,14520.57031,14696.03027,149300,14696.03027
3/27/2014,14305.66992,14659.84961,14227.80957,14622.88965,179000,14622.88965
3/26/2014,14521,14569.90039,14401.41992,14477.16016,166600,14477.16016
3/25/2014,14401.69043,14531.79004,14312.08008,14423.19043,186000,14423.19043
3/24/2014,14297.58008,14514.28027,14287.28027,14475.29981,196200,14475.29981
3/20/2014,14548.75977,14548.75977,14207.83008,14224.23047,158700,14224.23047
3/19/2014,14496,14664,14302,14463,0,14463
3/18/2014,14491,14533,14400,14411.26953,0,14411.26953
3/17/2014,14254.32031,14359.16016,14203.20996,14277.66992,138000,14277.66992
3/14/2014,14526.28027,14539.59961,14280.75,14327.66016,236100,14327.66016
3/13/2014,14847.71973,14919.83984,14790.48047,14815.98047,116200,14815.98047
3/12/2014,15003.79981,15020.13965,14828.17969,14830.38965,141300,14830.38965
3/11/2014,15179.46973,15256.03027,15124.36035,15224.11035,119100,15224.11035
3/10/2014,15197.53027,15266.12012,15088.11035,15120.13965,121100,15120.13965
3/7/2014,15280.75977,15312.59961,15145.58984,15274.07031,138500,15274.07031
3/6/2014,14933.75977,15203.12012,14871.55957,15134.75,150000,15134.75
