Date,Index
06-12-2013,2.11
09-12-2013,2.12
10-12-2013,2.12
11-12-2013,2.15
12-12-2013,2.14
13-12-2013,2.16
16-12-2013,2.18
17-12-2013,2.18
18-12-2013,2.17
19-12-2013,2.15
20-12-2013,2.16
23-12-2013,2.18
24-12-2013,2.19
25-12-2013,2.19
26-12-2013,2.2
27-12-2013,2.22
30-12-2013,2.23
31-12-2013,2.24
01-01-2014,2.24
02-01-2014,2.26
03-01-2014,2.26
06-01-2014,2.26
07-01-2014,2.26
08-01-2014,2.29
09-01-2014,2.31
10-01-2014,2.29
13-01-2014,2.27
14-01-2014,2.26
15-01-2014,2.28
16-01-2014,2.25
17-01-2014,2.26
20-01-2014,2.26
21-01-2014,2.26
22-01-2014,2.25
23-01-2014,2.13
24-01-2014,2.14
27-01-2014,2.14
28-01-2014,2.15
29-01-2014,2.14
30-01-2014,2.15
31-01-2014,2.14
03-02-2014,2.14
04-02-2014,2.13
05-02-2014,2.14
06-02-2014,2.16
07-02-2014,2.18
10-02-2014,2.19
11-02-2014,2.19
12-02-2014,2.21
13-02-2014,2.17
14-02-2014,2.16
17-02-2014,2.16
18-02-2014,2.14
19-02-2014,2.13
20-02-2014,2.13
21-02-2014,2.12
24-02-2014,2.16
25-02-2014,2.15
26-02-2014,2.16
27-02-2014,2.16
28-02-2014,2.17
03-03-2014,2.16
04-03-2014,2.18
05-03-2014,2.18
06-03-2014,2.21
07-03-2014,2.23
10-03-2014,2.22
11-03-2014,2.2
12-03-2014,2.19
13-03-2014,2.17
14-03-2014,2.17
17-03-2014,2.18
18-03-2014,2.18
19-03-2014,2.16
20-03-2014,2.13
21-03-2014,2.14
24-03-2014,2.15
25-03-2014,2.14
26-03-2014,2.14
27-03-2014,2.13
28-03-2014,2.13
31-03-2014,2.13
01-04-2014,2.14
02-04-2014,2.14
03-04-2014,2.14
04-04-2014,2.13
07-04-2014,2.12
08-04-2014,2.11
09-04-2014,2.14
10-04-2014,2.14
11-04-2014,2.13
14-04-2014,2.13
15-04-2014,2.14
16-04-2014,2.17
17-04-2014,2.21
18-04-2014,2.21
21-04-2014,2.2
22-04-2014,2.21
23-04-2014,2.21
24-04-2014,2.21
25-04-2014,2.2
28-04-2014,2.18
29-04-2014,2.18
30-04-2014,2.18
01-05-2014,2.2
02-05-2014,2.19
05-05-2014,2.18
06-05-2014,2.16
07-05-2014,2.2
08-05-2014,2.19
